date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:18	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Mar%202023%2009:30:17%20GMT	https://www.wiselythemes.com/robots.txt		(from )
16:30:18	43315/43315	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2017:26:41%20GMT	https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/index342d.html	(from )
16:30:19	36093/36093	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:30%20GMT	https://www.wiselythemes.com/html/lilac/images/fav_touch_icons/favicon.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/fav_touch_icons/favicon.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:19	9226/9226	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202020%2004:17:30%20GMT	https://www.wiselythemes.com/html/lilac/images/fav_touch_icons/apple-touch-icon.png	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/fav_touch_icons/apple-touch-icon.png	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:19	12226/12226	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202020%2004:17:28%20GMT	https://www.wiselythemes.com/html/lilac/images/fav_touch_icons/apple-touch-icon-72x72.png	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/fav_touch_icons/apple-touch-icon-72x72.png	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:19	22690/22690	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202020%2004:17:28%20GMT	https://www.wiselythemes.com/html/lilac/images/fav_touch_icons/apple-touch-icon-114x114.png	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/fav_touch_icons/apple-touch-icon-114x114.png	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:20	117305/117305	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jun%202020%2004:17:24%20GMT	https://www.wiselythemes.com/html/lilac/css/bootstrap.min.css	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/css/bootstrap.min.css	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:20	92215/92215	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Apr%202021%2021:22:33%20GMT	https://www.wiselythemes.com/html/lilac/css/style.css	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/css/style.css	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:20	17385/17385	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Apr%202021%2021:17:47%20GMT	https://www.wiselythemes.com/html/lilac/js/modernizr-3.6.0.min.js	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/js/modernizr-3.6.0.min.js	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:21	7186/7186	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202020%2004:17:28%20GMT	https://www.wiselythemes.com/html/lilac/images/logo.png	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/logo.png	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:21	43315/43315	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2017:26:41%20GMT	https://www.wiselythemes.com/html/lilac/index.html	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/index.html	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:21	43401/43401	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2017:29:30%20GMT	https://www.wiselythemes.com/html/lilac/index-countdown.html	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/index-countdown.html	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:22	41622/41622	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2017:29:32%20GMT	https://www.wiselythemes.com/html/lilac/index-video.html	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/index-video.html	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:22	19607/19607	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Jul%202021%2017:29:30%20GMT	https://www.wiselythemes.com/html/lilac/blog-single.html	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/blog-single.html	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:23	113007/113007	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:26%20GMT	https://www.wiselythemes.com/html/lilac/images/bride.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/bride.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:24	109620/109620	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:26%20GMT	https://www.wiselythemes.com/html/lilac/images/groom.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/groom.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:24	123254/123254	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:26%20GMT	https://www.wiselythemes.com/html/lilac/images/first-kiss.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/first-kiss.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:25	85114/85114	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:26%20GMT	https://www.wiselythemes.com/html/lilac/images/first-vacations1.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/first-vacations1.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:25	37847/37847	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:26%20GMT	https://www.wiselythemes.com/html/lilac/images/first-vacations1-thumb.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/first-vacations1-thumb.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
16:30:25	75638/75638	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2004:17:26%20GMT	https://www.wiselythemes.com/html/lilac/images/first-vacations2.jpg	C:/Users/Admin/OneDrive%20-%20VLG/My%20file/Pizitech/dsaasdasdas/www.wiselythemes.com/html/lilac/images/first-vacations2.jpg	(from https://www.wiselythemes.com/html/lilac/?fbclid=IwAR1YZtnYnywVhNGNUc8Y0gnNC4vxsefluujPTJFr7CJXN0yzJ_cpFGp2Nb4)
